run,noise,raw_rows,trimmed_rows,valid_tb,first_tb,crc_pass_tb,crc_fail_tb,dtx_rows,snr_mean,final_crc_failure_rate,first_bler,retransmission_share,iterations_all_mean,iterations_first_mean,ldpc_p50_us,ldpc_p95_us
scan_m2p5_r1,-2.5,1159,459,459,423,423,36,0,6.234640522875816,0.0784313725490196,0.0851063829787234,0.0784313725490196,5.510893246187364,5.8947990543735225,5624.384462,6069.9195479
scan_m2p5_r2,-2.5,1159,459,459,424,424,35,0,6.201089324618737,0.07625272331154684,0.08254716981132075,0.07625272331154684,5.46078431372549,5.8290094339622645,5397.756572,6286.247827799999
scan_m2p5_r3,-2.5,1158,458,458,409,410,48,0,6.22467248908297,0.10480349344978165,0.11735941320293398,0.10698689956331878,5.370087336244541,5.89242053789731,5613.514581,6053.92508775
scan_m2p5_r4,-2.5,1156,456,456,416,416,40,0,6.235087719298245,0.08771929824561403,0.09615384615384616,0.08771929824561403,5.428728070175438,5.8545673076923075,5426.5605605,6057.0038535
scan_m2p5_r5,-2.5,1157,457,457,416,416,41,0,6.2319474835886215,0.08971553610503283,0.0985576923076923,0.08971553610503283,5.365426695842451,5.793269230769231,5372.739363,6035.3467922
scan_m2p5_r6,-2.5,1157,457,457,423,423,34,0,6.230853391684901,0.07439824945295405,0.08037825059101655,0.07439824945295405,5.49890590809628,5.859338061465721,5619.597744,6059.1350422000005
scan_m2p5_r7,-2.5,1156,456,456,416,416,40,0,6.233991228070175,0.08771929824561403,0.09615384615384616,0.08771929824561403,5.463815789473684,5.891826923076923,5602.0679485,6075.53030425
scan_m2p75_r1,-2.75,1157,457,457,457,457,0,0,6.574398249452954,0.0,0.0,0.0,3.9682713347921226,3.9682713347921226,4331.257267,4720.417622
scan_m2p75_r2,-2.75,1159,459,459,459,459,0,0,6.573202614379085,0.0,0.0,0.0,3.9640522875816995,3.9640522875816995,4363.901053,4735.4611321
scan_m2p75_r3,-2.75,1160,460,460,460,460,0,0,6.585869565217391,0.0,0.0,0.0,4.006521739130434,4.006521739130434,4363.425345,4727.94360075
scan_m2p75_r4,-2.75,1158,458,458,458,458,0,0,6.591484716157206,0.0,0.0,0.0,3.9596069868995634,3.9596069868995634,4362.214355,4732.88478985
scan_m2p75_r5,-2.75,1161,461,461,461,461,0,0,6.57939262472885,0.0,0.0,0.0,4.021691973969631,4.021691973969631,4335.327483,4756.232326
scan_m2p75_r6,-2.75,1158,458,458,458,458,0,0,6.591703056768559,0.0,0.0,0.0,3.9901746724890828,3.9901746724890828,4340.453794,4726.210008800001
scan_m2p75_r7,-2.75,1155,455,455,455,455,0,0,6.583516483516483,0.0,0.0,0.0,3.978021978021978,3.978021978021978,4351.033594,4761.0968214999975
scan_m3p0_r1,-3.0,1159,459,459,459,459,0,0,6.981045751633987,0.0,0.0,0.0,2.903050108932462,2.903050108932462,3658.746537,4038.6790172
scan_m3p0_r2,-3.0,1158,458,458,458,458,0,0,6.9836244541484715,0.0,0.0,0.0,2.8897379912663754,2.8897379912663754,3665.3797515,4027.086375
scan_m3p0_r3,-3.0,1157,457,457,457,457,0,0,6.990590809628008,0.0,0.0,0.0,2.901531728665208,2.901531728665208,3704.342037,4049.5243356
scan_m3p0_r4,-3.0,1154,454,454,454,454,0,0,6.988325991189427,0.0,0.0,0.0,2.895374449339207,2.895374449339207,3662.2027315,4031.1654076
