noise,runs,snr_mean_mean,snr_mean_std,final_crc_failure_rate_mean,final_crc_failure_rate_std,first_bler_mean,first_bler_std,retransmission_share_mean,retransmission_share_std,iterations_all_mean_mean,iterations_all_mean_std,iterations_first_mean_mean,iterations_first_mean_std,ldpc_p50_us_mean,ldpc_p50_us_std,ldpc_p95_us_mean,ldpc_p95_us_std,valid_tb,first_tb,crc_pass_tb,crc_fail_tb,dtx_rows
-6.0,7,12.271421742449048,0.008606719836315113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2364.3256625714284,12.414999966422442,2422.8770660357145,6.532794734339115,3197,3197,3197,0,0
-5.0,7,10.446124650769951,0.008419544179139647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2377.9374111428574,15.52659850765322,2422.9735376714284,3.536219523166165,3201,3201,3201,0,0
-4.5,7,9.552506298447403,0.004884352064714597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2364.9573412857144,14.981001421370378,2420.8449107499996,7.830982137256462,3198,3198,3198,0,0
-4.0,7,8.667272117926405,0.007744092598866084,0.0,0.0,0.0,0.0,0.0,0.0,1.0107980299452821,0.003314226458530121,1.0107980299452821,0.003314226458530121,2368.9378864285713,12.580626207831754,2424.646540621429,4.449785495705176,3195,3195,3195,0,0
-3.75,7,8.238999469931397,0.007265133270885671,0.0,0.0,0.0,0.0,0.0,0.0,1.1356582508191944,0.004342210507682876,1.1356582508191944,0.004342210507682876,2383.787247357143,8.306153714048081,2730.762329414286,5.6744863908984495,3203,3203,3203,0,0
-3.5,7,7.782389852041043,0.007776815552123216,0.0,0.0,0.0,0.0,0.0,0.0,1.6303020773791936,0.012476678990572086,1.6303020773791936,0.012476678990572086,2726.5996509285715,6.174294926955105,3077.5792534142856,5.4146815305829845,3200,3200,3200,0,0
-3.25,7,7.394594383084497,0.009292997870943669,0.0,0.0,0.0,0.0,0.0,0.0,2.1297806615382706,0.004347812684724753,2.1297806615382706,0.004347812684724753,3055.2136618571426,4.562693608613273,3407.444164142857,6.358574708162182,3132,3132,3132,0,0
-3.0,7,6.984376956402173,0.008078142293316479,0.0,0.0,0.0,0.0,0.0,0.0,2.899637872991711,0.01877782383707997,2.899637872991711,0.01877782383707997,3668.8656999285713,16.327989082018874,4036.332284378572,7.93261994805806,3204,3204,3204,0,0
-2.75,7,6.582795330031503,0.007515911681206331,0.0,0.0,0.0,0.0,0.0,0.0,3.9840487104120728,0.023245363628893456,3.9840487104120728,0.023245363628893456,4349.658984428572,14.027513147264045,4737.178043,15.508265974434163,3208,3208,3208,0,0
-2.5,7,6.227468879888495,0.01216027516041794,0.08557713876565186,0.010479591325546395,0.09375094302848276,0.012721991754788602,0.08588905392472859,0.011157770921432036,5.442663051392179,0.05776577654377253,5.85931864989104,0.03811196636970354,5522.374461571429,116.63087414728214,6091.0154936571425,87.03289770426133,3202,2927,2928,274,0
