sequence,frame,slot,rnti,harq_pid,harq_round,rv,rb_size,mcs,qm,tbs_bytes,num_codeblocks,ldpc_iterations_sum,ldpc_iterations_per_cb,ldpc_time_us,crc_ok,dtx,signal_db,noise_db,snr_db,source_run,noise_parameter
650,325,18,4660,4,0,0,50,9,2,1153,2,12,6.000000,5699.833078,1,0,52.2,45.7,6.5,scan_m2p5_r1,-2.5
651,326,8,4660,8,0,0,50,9,2,1153,2,13,6.500000,6003.669288,1,0,52.2,46.2,6.0,scan_m2p5_r1,-2.5
652,326,18,4660,7,0,0,50,9,2,1153,2,8,4.000000,4375.372809,1,0,52.2,45.9,6.3,scan_m2p5_r1,-2.5
653,327,8,4660,10,0,0,50,9,2,1153,2,10,5.000000,4971.672643,1,0,52.2,46.0,6.2,scan_m2p5_r1,-2.5
654,327,18,4660,9,0,0,50,9,2,1153,2,10,5.000000,4995.295705,1,0,52.2,45.7,6.5,scan_m2p5_r1,-2.5
655,328,8,4660,11,0,0,50,9,2,1153,2,11,5.500000,5346.668003,1,0,52.2,45.3,6.9,scan_m2p5_r1,-2.5
656,328,18,4660,12,0,0,50,9,2,1153,2,12,6.000000,5721.079435,1,0,52.2,45.8,6.4,scan_m2p5_r1,-2.5
657,329,8,4660,14,0,0,50,9,2,1153,2,11,5.500000,5377.539163,1,0,52.2,45.9,6.3,scan_m2p5_r1,-2.5
658,329,18,4660,13,0,0,50,9,2,1153,2,12,6.000000,5706.373264,1,0,52.2,46.0,6.2,scan_m2p5_r1,-2.5
659,330,8,4660,1,0,0,50,9,2,1153,2,10,5.000000,5052.372606,1,0,52.1,46.3,5.8,scan_m2p5_r1,-2.5
660,330,18,4660,15,0,0,50,9,2,1153,2,8,4.000000,4361.624519,1,0,52.2,46.0,6.2,scan_m2p5_r1,-2.5
661,331,8,4660,0,0,0,50,9,2,1153,2,12,6.000000,5714.956197,1,0,52.2,46.0,6.2,scan_m2p5_r1,-2.5
662,331,18,4660,2,0,0,50,9,2,1153,2,11,5.500000,5366.790500,1,0,52.2,46.1,6.1,scan_m2p5_r1,-2.5
663,332,8,4660,3,0,0,50,9,2,1153,2,12,6.000000,5696.082544,1,0,52.1,45.8,6.3,scan_m2p5_r1,-2.5
664,332,18,4660,6,0,0,50,9,2,1153,2,11,5.500000,5347.667878,1,0,52.2,46.2,6.0,scan_m2p5_r1,-2.5
665,333,8,4660,5,0,0,50,9,2,1153,2,11,5.500000,5381.622655,1,0,52.2,46.2,6.0,scan_m2p5_r1,-2.5
666,333,18,4660,4,0,0,50,9,2,1153,2,13,6.500000,5982.005982,1,0,52.2,46.1,6.1,scan_m2p5_r1,-2.5
667,334,8,4660,8,0,0,50,9,2,1153,2,11,5.500000,5374.831500,1,0,52.1,46.2,5.9,scan_m2p5_r1,-2.5
668,334,18,4660,7,0,0,50,9,2,1153,2,13,6.500000,6002.587422,1,0,52.1,46.0,6.1,scan_m2p5_r1,-2.5
669,335,8,4660,10,0,0,50,9,2,1153,2,12,6.000000,5754.909227,1,0,52.2,46.0,6.2,scan_m2p5_r1,-2.5
670,335,18,4660,9,0,0,50,9,2,1153,2,12,6.000000,5670.753694,1,0,52.1,46.2,5.9,scan_m2p5_r1,-2.5
671,336,8,4660,11,0,0,50,9,2,1153,2,12,6.000000,5714.580243,1,0,52.2,45.0,7.2,scan_m2p5_r1,-2.5
672,336,18,4660,12,0,0,50,9,2,1153,2,11,5.500000,5360.499283,1,0,52.1,45.5,6.6,scan_m2p5_r1,-2.5
673,337,8,4660,14,0,0,50,9,2,1153,2,10,5.000000,5034.040886,1,0,52.2,45.9,6.3,scan_m2p5_r1,-2.5
674,337,18,4660,13,0,0,50,9,2,1153,2,12,6.000000,5352.250309,0,0,52.2,46.2,6.0,scan_m2p5_r1,-2.5
675,338,8,4660,1,0,0,50,9,2,1153,2,10,5.000000,5016.918016,1,0,52.2,46.0,6.2,scan_m2p5_r1,-2.5
676,338,18,4660,13,1,2,50,9,2,1153,2,2,1.000000,3731.827850,1,0,52.1,46.1,6.0,scan_m2p5_r1,-2.5
677,339,8,4660,15,0,0,50,9,2,1153,2,10,5.000000,5065.869927,1,0,52.2,45.7,6.5,scan_m2p5_r1,-2.5
678,339,18,4660,0,0,0,50,9,2,1153,2,12,6.000000,5695.707591,1,0,52.2,46.2,6.0,scan_m2p5_r1,-2.5
679,340,8,4660,2,0,0,50,9,2,1153,2,11,5.500000,5358.458536,1,0,52.2,46.1,6.1,scan_m2p5_r1,-2.5
680,340,18,4660,3,0,0,50,9,2,1153,2,9,4.500000,4719.620992,1,0,52.2,46.0,6.2,scan_m2p5_r1,-2.5
681,341,8,4660,6,0,0,50,9,2,1153,2,10,5.000000,5032.707052,1,0,52.2,45.7,6.5,scan_m2p5_r1,-2.5
682,341,18,4660,5,0,0,50,9,2,1153,2,11,5.500000,5387.078977,1,0,52.1,45.7,6.4,scan_m2p5_r1,-2.5
683,342,8,4660,4,0,0,50,9,2,1153,2,13,6.500000,6038.790919,1,0,52.1,46.0,6.1,scan_m2p5_r1,-2.5
684,342,18,4660,8,0,0,50,9,2,1153,2,11,5.500000,5364.873738,1,0,52.1,45.6,6.5,scan_m2p5_r1,-2.5
685,343,8,4660,7,0,0,50,9,2,1153,2,9,4.500000,4696.582858,1,0,52.1,45.7,6.4,scan_m2p5_r1,-2.5
686,343,18,4660,10,0,0,50,9,2,1153,2,10,5.000000,5029.540446,1,0,52.1,45.9,6.2,scan_m2p5_r1,-2.5
687,344,8,4660,9,0,0,50,9,2,1153,2,11,5.500000,5350.584516,1,0,52.2,45.0,7.2,scan_m2p5_r1,-2.5
