模块,运行数,P10,P50,P90,最小,最大,均值,标准差,调用/TB,变异系数
FFT/DFT（接收时隙摊销）,20,18121.083803721864,18168.72994066496,18939.411740385283,18094.33467791411,18972.845390769227,18274.854437930437,295.18811281881426,3.002609288184931,0.016152692970628296
PUSCH 前端,20,2713.7073,2722.159,2728.6499000000003,2713.0930000000003,2740.629,2722.3095000000003,6.570078926867032,1.0,0.0024134210040654934
LDPC 解码,20,3797.229,3806.8500000000004,3814.5088,3789.194,3822.744,3806.2113,8.356707744459962,2.0,0.0021955448832964063
信道估计（含测量）,20,2427.5822000000003,2434.2475000000004,2443.0215,2423.0310000000004,2458.013,2436.02385,7.667579040657884,1.0,0.0031475796267995833
LDPC 速率恢复,20,35.7678,35.946,36.1582,35.686,36.362,35.9486,0.17230218253192014,2.0,0.004793015097442463
LDPC 解交织,20,10.907399999999999,10.993,11.1586,10.82,11.484,11.0371,0.15855595060950636,2.0,0.01436572565343309
资源提取,20,16.017300000000002,16.7115,17.1626,15.639000000000001,17.264000000000003,16.64715,0.4637322588463486,13.0,0.02785655555733856
信道补偿,20,464.3548,465.93949999999995,468.3406,463.502,470.18399999999997,466.21054999999996,1.8015119519886196,13.0,0.0038641595562104282
LLR 计算,20,12.7634,13.091,13.3315,12.74,13.416000000000002,13.085149999999999,0.2089163204428235,13.0,0.015965909480810194
信道测量（估计子步骤）,20,385.25100000000003,386.1705,386.4828,384.75300000000004,386.664,385.992,0.5075215318221893,3.0,0.0013148498720755592
