run,tb_count,round0,round1,round2,round3,dtx,FFT/DFT（接收时隙摊销）_us_tb,FFT/DFT（接收时隙摊销）_calls_tb,FFT/DFT（接收时隙摊销）_max_call_us,PUSCH 前端_us_tb,PUSCH 前端_calls_tb,PUSCH 前端_max_call_us,LDPC 解码_us_tb,LDPC 解码_calls_tb,LDPC 解码_max_call_us,信道估计（含测量）_us_tb,信道估计（含测量）_calls_tb,信道估计（含测量）_max_call_us,LDPC 速率恢复_us_tb,LDPC 速率恢复_calls_tb,LDPC 速率恢复_max_call_us,LDPC 解交织_us_tb,LDPC 解交织_calls_tb,LDPC 解交织_max_call_us,资源提取_us_tb,资源提取_calls_tb,资源提取_max_call_us,信道补偿_us_tb,信道补偿_calls_tb,信道补偿_max_call_us,LLR 计算_us_tb,LLR 计算_calls_tb,LLR 计算_max_call_us,信道测量（估计子步骤）_us_tb,信道测量（估计子步骤）_calls_tb,信道测量（估计子步骤）_max_call_us,meta_label,meta_channel,meta_duration_seconds,meta_capture,meta_start_utc,meta_architecture,meta_kernel,meta_oai_head,meta_oai_describe,meta_cpu_online,meta_cpu_governor,meta_cpu_max_khz,meta_end_utc,meta_ue_sync_markers,meta_gnb_ulsch_log_lines,meta_csv_data_rows,elapsed_seconds
awgn_m3p5_native_r01,1955,1671,95,95,94,378,18135.549657289,3.002557544757033,10014.762,2727.834,1.0,3043.319,3801.908,2.0,5363.606,2441.623,1.0,2765.272,35.98,2.0,38.62,11.044,2.0,25.414,16.938999999999997,13.0,19.373,466.47900000000004,13.0,263.633,12.973999999999998,13.0,21.122,386.63399999999996,3.0,150.481,awgn_m3p5_native_r01,-3.5,95,native,2026-08-30T08:31:05Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:32:47Z,2,0,0,102.0
awgn_m3p5_native_r02,1954,1670,95,95,94,378,18116.9657185261,3.0025588536335723,8883.655,2740.629,1.0,2918.46,3810.278,2.0,5357.939,2458.013,1.0,2602.917,36.088,2.0,34.871,10.926,2.0,33.33,16.588,13.0,17.665,463.502,13.0,193.975,12.987,13.0,21.706,386.265,3.0,150.314,awgn_m3p5_native_r02,-3.5,95,native,2026-08-30T08:32:47Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:34:28Z,2,0,0,101.0
awgn_m3p5_native_r03,1957,1673,95,95,94,378,18138.458078691874,3.003065917220235,7928.594,2713.431,1.0,2906.277,3810.974,2.0,5313.74,2427.811,1.0,2563.902,35.95,2.0,40.453,11.054,2.0,16.332,16.445,13.0,35.371,467.285,13.0,266.718,13.234000000000002,13.0,21.872,384.75300000000004,3.0,152.94,awgn_m3p5_native_r03,-3.5,95,native,2026-08-30T08:34:28Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:36:10Z,2,0,0,102.0
awgn_m3p5_native_r04,1955,1671,95,95,94,379,18182.710828644504,3.002557544757033,9875.594,2728.61,1.0,2893.042,3817.054,2.0,5317.269,2436.187,1.0,2519.964,35.938,2.0,36.578,10.976,2.0,26.956,17.082000000000004,13.0,19.622,470.18399999999997,13.0,272.84,13.416000000000002,13.0,19.455,386.112,3.0,154.813,awgn_m3p5_native_r04,-3.5,95,native,2026-08-30T08:36:10Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:37:51Z,2,0,0,101.0
awgn_m3p5_native_r05,1958,1674,95,95,94,378,18121.541368743616,3.003064351378958,7853.75,2719.092,1.0,3728.025,3806.698,2.0,5306.866,2434.168,1.0,2523.846,36.154,2.0,37.453,11.38,2.0,15.123,16.523,13.0,18.956,464.763,13.0,236.345,13.246999999999998,13.0,25.539,385.53900000000004,3.0,158.022,awgn_m3p5_native_r05,-3.5,95,native,2026-08-30T08:37:51Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:39:33Z,2,0,0,102.0
awgn_m3p5_native_r06,1955,1671,95,95,94,378,18191.943584654735,3.0015345268542197,10680.106,2726.057,1.0,2945.782,3803.37,2.0,5383.255,2443.782,1.0,2574.122,36.038,2.0,36.536,10.964000000000002,2.0,15.832,16.042,13.0,95.821,464.5810000000001,13.0,277.881,13.13,13.0,42.328,386.394,3.0,151.105,awgn_m3p5_native_r06,-3.5,95,native,2026-08-30T08:39:33Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:41:14Z,2,0,0,101.0
awgn_m3p5_native_r07,1951,1667,95,95,94,377,18958.246486929784,3.0030753459764226,8132.523,2729.009,1.0,3104.429,3807.744,2.0,5317.224,2441.376,1.0,2894.415,36.362,2.0,97.57,10.964,2.0,22.956,16.77,13.0,17.289,466.895,13.0,228.137,13.091,13.0,23.33,386.226,3.0,181.434,awgn_m3p5_native_r07,-3.5,95,native,2026-08-30T08:41:14Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:42:56Z,2,0,0,102.0
awgn_m3p5_native_r08,1955,1671,95,95,94,378,18181.529020971866,3.00306905370844,7842.906,2722.667,1.0,2918.791,3803.73,2.0,5315.356,2433.141,1.0,2555.546,35.98,2.0,36.37,11.116,2.0,21.539,16.965,13.0,17.957,467.662,13.0,207.89,13.247,13.0,27.829,386.16,3.0,153.022,awgn_m3p5_native_r08,-3.5,95,native,2026-08-30T08:42:56Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:44:37Z,2,0,0,101.0
awgn_m3p5_native_r09,1950,1666,95,95,94,378,18972.845390769227,3.003076923076923,13641.16,2719.7520000000004,1.0,2970.7,3807.0020000000004,2.0,5317.19,2431.265,1.0,2511.301,35.978,2.0,30.579,10.82,2.0,25.872,16.835,13.0,26.831,468.364,13.0,265.966,13.091,13.0,36.036,385.61400000000003,3.0,154.897,awgn_m3p5_native_r09,-3.5,95,native,2026-08-30T08:44:37Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:46:19Z,2,0,0,102.0
awgn_m3p5_native_r10,1950,1666,95,95,94,378,18937.31899076923,3.003076923076923,10141.675,2719.802,1.0,2879.719,3813.868,2.0,5299.622,2432.55,1.0,2522.39,35.77,2.0,41.078,10.902,2.0,22.038,16.393,13.0,18.998,467.298,13.0,194.975,13.169,13.0,23.913,385.88100000000003,3.0,156.98,awgn_m3p5_native_r10,-3.5,95,native,2026-08-30T08:46:19Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:48:00Z,2,0,0,101.0
awgn_m3p5_native_r11,1956,1674,94,94,94,374,18153.42615030675,3.0015337423312882,10338.777,2715.465,1.0,2913.507,3798.002,2.0,5337.992,2434.327,1.0,2539.638,35.796,2.0,33.496,11.124,2.0,26.163,15.795,13.0,119.86,464.386,13.0,248.719,12.74,13.0,20.288,385.76399999999995,3.0,149.731,awgn_m3p5_native_r11,-3.5,95,native,2026-08-30T08:48:00Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:49:42Z,2,0,0,102.0
awgn_m3p5_native_r12,1955,1671,95,95,94,378,18166.26742404092,3.00306905370844,7922.622,2717.556,1.0,2909.828,3822.744,2.0,5357.212,2431.69,1.0,2532.372,35.774,2.0,44.328,10.908,2.0,25.08,16.653,13.0,16.998,465.3999999999999,13.0,267.427,13.064999999999998,13.0,126.568,386.181,3.0,159.731,awgn_m3p5_native_r12,-3.5,95,native,2026-08-30T08:49:42Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:51:23Z,2,0,0,101.0
awgn_m3p5_native_r13,1956,1672,95,95,94,378,18094.33467791411,3.0025562372188137,7751.806,2722.228,1.0,2903.932,3789.194,2.0,5325.494,2433.3619999999996,1.0,2524.343,35.686,2.0,38.955,11.074,2.0,32.206,17.16,13.0,26.081,465.14000000000004,13.0,227.769,13.078,13.0,18.581,386.268,3.0,218.312,awgn_m3p5_native_r13,-3.5,95,native,2026-08-30T08:51:23Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:53:05Z,2,0,0,102.0
awgn_m3p5_native_r14,1955,1671,95,95,94,378,18171.192457289002,3.00306905370844,7854.486,2724.8789999999995,1.0,3036.916,3812.864,2.0,5305.51,2442.054,1.0,2529.895,36.196,2.0,42.828,10.996,2.0,21.914,15.639000000000001,13.0,20.539,465.16599999999994,13.0,223.597,12.74,13.0,24.747,386.22300000000007,3.0,152.815,awgn_m3p5_native_r14,-3.5,95,native,2026-08-30T08:53:05Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:54:46Z,2,0,0,101.0
