模块,运行数,P10,P50,P90,最小,最大,均值,标准差,调用/TB,变异系数
FFT/DFT（接收时隙摊销）,20,18726.33832167508,18744.514679605563,18813.863386635945,18718.52579632466,18891.981502807554,18756.60844869671,42.80416157737708,3.0027068591548547,0.002282084295487402
PUSCH 前端,20,2657.0432,2663.2193922369765,2671.2191000000003,2654.054,2672.5065237366002,2663.43011420971,5.9369216303373635,1.0000766087977957,0.0022290510265928114
LDPC 解码,20,2567.3648,2574.5,2579.4884,2545.292,2585.822,2573.2286,8.347633918788366,2.0,0.0032440312216288777
信道估计（含测量）,20,2414.6342,2422.3474458631254,2427.9728573762122,2411.999,2430.671,2421.2815268513223,5.922401491805165,1.0000766087977957,0.002445978060017978
LDPC 速率恢复,20,35.708600000000004,35.915,36.016000000000005,35.604,36.22,35.8931,0.1496219446330966,2.0,0.004168543386698185
LDPC 解交织,20,10.627,10.786999999999999,11.0228,10.576,11.176,10.8205,0.15460629114999777,2.0,0.014288276063952478
资源提取,20,17.5357,17.797,18.1415,17.433,18.407999999999998,17.82755,0.2669635250070888,13.0,0.014974773595198937
信道补偿,20,459.0872,460.395,461.4311,458.211,463.54099999999994,460.5393,1.1757098684355811,13.0,0.0025528980228952903
LLR 计算,20,13.698100000000002,13.9815,14.3039,13.546000000000001,14.352000000000002,13.98345,0.2194966670409945,13.0,0.015696889325666735
信道测量（估计子步骤）,20,385.0338,385.938,386.52509999999995,384.51599999999996,386.96700000000004,385.829834371808,0.6261291290358594,3.000025536261491,0.0016228115953119506
