run,tb_count,round0,round1,round2,round3,dtx,FFT/DFT（接收时隙摊销）_us_tb,FFT/DFT（接收时隙摊销）_calls_tb,FFT/DFT（接收时隙摊销）_max_call_us,PUSCH 前端_us_tb,PUSCH 前端_calls_tb,PUSCH 前端_max_call_us,LDPC 解码_us_tb,LDPC 解码_calls_tb,LDPC 解码_max_call_us,信道估计（含测量）_us_tb,信道估计（含测量）_calls_tb,信道估计（含测量）_max_call_us,LDPC 速率恢复_us_tb,LDPC 速率恢复_calls_tb,LDPC 速率恢复_max_call_us,LDPC 解交织_us_tb,LDPC 解交织_calls_tb,LDPC 解交织_max_call_us,资源提取_us_tb,资源提取_calls_tb,资源提取_max_call_us,信道补偿_us_tb,信道补偿_calls_tb,信道补偿_max_call_us,LLR 计算_us_tb,LLR 计算_calls_tb,LLR 计算_max_call_us,信道测量（估计子步骤）_us_tb,信道测量（估计子步骤）_calls_tb,信道测量（估计子步骤）_max_call_us,meta_label,meta_channel,meta_duration_seconds,meta_capture,meta_start_utc,meta_architecture,meta_kernel,meta_oai_head,meta_oai_describe,meta_cpu_online,meta_cpu_governor,meta_cpu_max_khz,meta_end_utc,meta_ue_sync_markers,meta_gnb_ulsch_log_lines,meta_csv_data_rows,elapsed_seconds
ideal_native_r01,1959,1678,94,94,93,374,18737.394039816234,3.003062787136294,11277.696,2665.641,1.0,2801.77,2575.832,2.0,5257.584,2423.929,1.0,2532.012,36.008,2.0,57.285,10.768,2.0,30.746,17.602,13.0,22.955,461.1619999999999,13.0,170.687,13.988000000000001,13.0,23.914,385.50600000000003,3.0,158.98,ideal_native_r01,ideal,95,native,2026-08-30T07:57:15Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T07:58:57Z,2,0,0,102.0
ideal_native_r02,1959,1678,94,94,93,374,18730.22572894334,3.003062787136294,10275.119,2654.054,1.0,2791.837,2575.988,2.0,5202.926,2412.602,1.0,2477.79,35.604,2.0,59.743,10.85,2.0,33.163,17.537,13.0,20.414,458.211,13.0,98.488,13.546000000000001,13.0,30.329,385.45799999999997,3.0,156.607,ideal_native_r02,ideal,95,native,2026-08-30T07:58:57Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:00:38Z,2,0,0,101.0
ideal_native_r03,1953,1672,94,94,93,374,18833.225866359448,3.002048131080389,9682.151,2655.056,1.0,2777.941,2576.164,2.0,5178.303,2411.999,1.0,2528.722,35.75,2.0,43.287,10.694,2.0,22.747,18.083000000000002,13.0,24.039,460.56399999999996,13.0,211.848,14.052999999999999,13.0,25.081,384.996,3.0,224.43,ideal_native_r03,ideal,95,native,2026-08-30T08:00:38Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:02:20Z,2,0,0,102.0
ideal_native_r04,1959,1678,94,94,93,373,18718.52579632466,3.003062787136294,8551.765,2658.836,1.0,2757.598,2574.488,2.0,5176.647,2415.884,1.0,2493.499,35.978,2.0,37.663,10.942,2.0,24.665,17.732000000000003,13.0,20.415,460.48599999999993,13.0,144.943,14.3,13.0,22.748,386.29499999999996,3.0,158.442,ideal_native_r04,ideal,95,native,2026-08-30T08:02:20Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:04:01Z,2,0,0,101.0
ideal_native_r05,1953,1672,94,94,93,374,18811.712,3.0025601638504864,67568.714,2665.105,1.0,2795.564,2572.744,2.0,5233.589,2423.076,1.0,2528.681,35.89,2.0,48.91,10.718,2.0,12.082,17.953000000000003,13.0,23.205,460.09600000000006,13.0,202.016,14.131,13.0,19.789,385.983,3.0,152.064,ideal_native_r05,ideal,95,native,2026-08-30T08:04:01Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:05:43Z,2,0,0,102.0
ideal_native_r06,1959,1678,94,94,93,373,18741.928664624807,3.003062787136294,9156.727,2670.775,1.0,2796.024,2574.512,2.0,5195.016,2427.796,1.0,2532.35,35.93,2.0,33.579,10.63,2.0,27.58,18.083000000000002,13.0,18.207,460.85,13.0,94.822,14.052999999999999,13.0,22.205,386.29499999999996,3.0,170.229,ideal_native_r06,ideal,95,native,2026-08-30T08:05:43Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:07:24Z,2,0,0,101.0
ideal_native_r07,1960,1679,94,94,93,374,18722.99238520408,3.002551020408163,8213.787,2659.596,1.0,2850.22,2572.374,2.0,5160.093,2418.027,1.0,2603.127,35.642,2.0,37.62,11.048,2.0,28.621,17.939999999999998,13.0,17.998,459.706,13.0,95.78,13.922999999999998,13.0,23.872,386.96700000000004,3.0,152.314,ideal_native_r07,ideal,95,native,2026-08-30T08:07:24Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:09:06Z,2,0,0,102.0
ideal_native_r08,1958,1677,94,94,93,374,18748.623418794687,3.002553626149132,8604.236,2665.985,1.0,2931.696,2585.822,2.0,5200.554,2423.261,1.0,2689.516,36.088,2.0,32.329,11.176,2.0,41.995,18.135,13.0,42.037,461.27899999999994,13.0,199.934,13.962000000000002,13.0,19.331,385.09200000000004,3.0,181.021,ideal_native_r08,ideal,95,native,2026-08-30T08:09:06Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:10:47Z,2,0,0,101.0
ideal_native_r09,1959,1678,94,94,93,374,18726.71009239408,3.0020418580908625,9168.878,2660.045,1.0,2751.443,2577.828,2.0,5148.097,2418.119,1.0,2486.642,35.99,2.0,36.62,10.914,2.0,22.664,17.55,13.0,18.789,459.108,13.0,152.023,13.663,13.0,17.29,386.103,3.0,150.106,ideal_native_r09,ideal,95,native,2026-08-30T08:10:47Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:12:29Z,2,0,0,102.0
ideal_native_r10,1957,1677,94,94,92,372,18760.197830863566,3.003065917220235,9086.677,2657.264,1.0,2800.641,2575.022,2.0,5146.083,2414.86,1.0,2558.335,35.76,2.0,31.288,10.954,2.0,23.206,17.524,13.0,23.664,460.25200000000007,13.0,119.611,13.974999999999998,13.0,20.665,385.038,3.0,179.189,ideal_native_r10,ideal,95,native,2026-08-30T08:12:29Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:14:10Z,2,0,0,101.0
